serial,sid,uuid,token,uri,created,completed,changed,in_draft,current_page,remote_addr,uid,langcode,webform_id,entity_type,entity_id,locked,sticky,notes,reversed,compliance_agreement,problems_1a,problems_1a_which,mental_demand_1a,temporal_demand_1a,performance_1a,effort_1a,frustration_1a,distraction_1a,fokus_1a,additional_toughts_1a,problems_1b,problems_1b_which,mental_demand_1b,temporal_demand_1b,performance_1b,effort_1b,frustration_1b,distraction_1b,fokus_1b,parameters_1b,quality_1b,size_1b,additional_toughts_1b,problems_1c,problems_1c_which,mental_demand_1c,temporal_demand_1c,performance_1c,effort_1c,frustration_1c,distraction_1c,fokus_1c,parameters_1c,quality_1c,size_1c,threshold_1c,additional_toughts_1c,problems_1d,problems_1d_which,mental_demand_1d,temporal_demand_1d,performance_1d,effort_1d,frustration_1d,distraction_1d,fokus_1d,additional_toughts_1d,problems_2a,problems_2a_which,mental_demand_2a,temporal_demand_2a,performance_2a,effort_2a,frustration_2a,distraction_2a,fokus_2a,additional_toughts_2a,problems_2b,problems_2b_which,mental_demand_2b,temporal_demand_2b,performance_2b,effort_2b,frustration_2b,distraction_2b,fokus_2b,parameters_2b,quality_2b,size_2b,additional_toughts_2b,problems_2c,problems_2c_which,mental_demand_2c,temporal_demand_2c,performance_2c,effort_2c,frustration_2c,distraction_2c,fokus_2c,parameters_2c,quality_2c,size_2c,threshold_2c,additional_toughts_2c,problems_2d,problems_2d_which,mental_demand_2d,temporal_demand_2d,performance_2d,effort_2d,frustration_2d,distraction_2d,fokus_2d,additional_toughts_2d,problems_3a,problems_3a_which,mental_demand_3a,temporal_demand_3a,performance_3a,effort_3a,frustration_3a,distraction_3a,fokus_3a,additional_toughts_3a,problems_3b,problems_3b_which,mental_demand_3b,temporal_demand_3b,performance_3b,effort_3b,frustration_3b,distraction_3b,fokus_3b,parameters_3b,quality_3b,size_3b,additional_toughts_3b,problems_3c,problems_3c_which,mental_demand_3c,temporal_demand_3c,performance_3c,effort_3c,frustration_3c,distraction_3c,fokus_3c,parameters_3c,quality_3c,size_3c,threshold_3c,additional_toughts_3c,problems_3d,problems_3d_which,mental_demand_3d,temporal_demand_3d,performance_3d,effort_3d,frustration_3d,distraction_3d,fokus_3d,additional_toughts_3d,preference,preference_reason,buy_nps_a,buy_nps_b,buy_nps_c,experience,status,used_apps,field_of_work,frequency,reasons,denoiser,age,gender
15,15,ab78606f-e183-4ddb-a3f0-15763dd23faa,oicSRVNfVqj9P259URCU-oAm6ah_9qK1tW0Lyfnl9p4,/,1663939106,1663941921,1663941921,0,webform_confirmation,,,en,irsurvey_webform,node,d031e888-1d4d-4d27-90eb-2da066526fac,0,0,,0,1,Yes,,2,2,1,0,1.8,2.2,2.5,,Yes,,0,0,3,1,1.9," -0.5",1.9,None,,,,Yes,,0,0,0,1.9,3,3,2.1,None,,,,,,,,,,,,,,,Yes,,0,0,0,0,0.5,0.5,0.7,,Yes,," -0.6"," -0.9"," -0.6",0," -0.5"," -0.6"," -0.6","Tile Quality ,Tile Size",8,32,,Yes,,1.1,1,2.1,2,2.3,2.1,2,"Tile Quality ,Tile Size",256,16,,,,,,,,,,,,,Yes,,2.1,1.9,2.1,3,3.2,2.9,2.9,,Yes,,2.7,2.7,2.4,4.1,3,3,2.8,"Tile Quality ,Tile Size",128,16,,Yes,," -0.3",0,0.2," -0.3"," -0.4"," -0.4"," -0.3",None,,,,,,,,,,,,,,,A,,5,3,2,"10,000+",Professional,"Autodesk Maya,Unreal Engine,Unity 3D","Video Game Development,Movie Production,Animation",Occasionally,"Time,Realtime,Final",Optix,47,Male
16,16,462852f2-4129-4506-be23-786f338da28d,pBrIIKpRli4jIVcVQx6isCRmbD8ToHuUFNN3vBhBQcc,/,1666080441,1666084693,1666084693,0,webform_confirmation,,,en,irsurvey_webform,node,d031e888-1d4d-4d27-90eb-2da066526fac,0,0,,1,1,,,,,,,,,,,Yes,," -0.5",0,0,0,0," -1"," -1","Tile Quality ,Tile Size",16,16,,Yes,," -0.5",0," -0.5",0,0," -0.5"," -0.5","Tile Quality ,Tile Size,Threshold",32,32,101-200,,Yes,,2,2,3,2,1,0.5,0.5,,,,,,,,,,,,Yes,," -0.1",0,0,0,0," -0.3"," -0.3","Tile Quality ,Tile Size",4,16,,Yes,," -1"," -0.9"," -0.7"," -1"," -0.3"," -0.5"," -0.5","Tile Quality ,Threshold",8,,101-200,,Yes,,0,0,1,0,0," -0.3",0,,,,,,,,,,,,Yes,,0,0,0,0,0," -0.5"," -0.5",None,,,,Yes,," -0.5"," -1"," -1"," -0.5"," -0.3"," -1"," -0.8","Tile Quality ,Tile Size",8,16,,,Yes,," -0.3",0,0,0,0," -0.7"," -0.3",,C,,5,2,7,500-999,Student,"Blender,Autodesk Maya","Digital Art (single frame rendering)",Regularly,"Time,Realtime",Optix,28,Male
17,17,b9436f39-6f82-463f-bea2-be3451854b24,afNXVJS068xfGBFGgBdKS3Rtr8HqMfsHVqSh3kS8n-o,/,1666605802,1666609007,1666609007,0,webform_confirmation,,,en,irsurvey_webform,node,d031e888-1d4d-4d27-90eb-2da066526fac,0,0,,0,1,Yes,,0,3,1,0,0.5,0,1,,Yes,,0," -1"," -0.5",0,0," -1",0,None,,,,Yes,,4.5,4.5,4.5,4,4.5,3,1,None,,,,,,,,,,,,,,,Yes,,3,3,2.5,1,1,2.5,3,,Yes,,0,1,0.5,1," -1",0,1,"Tile Quality ",16,,,Yes,,3,3,3,3,2,2,3,"Tile Quality ",16,,,,,,,,,,,,,,Yes,,0.5,2,0,0,0," -0.5"," -0.5",,Yes,,1.5,2.5,1,0.4,0,0,0,"Tile Quality ",32,,,Yes,,2.5,3,2,2.5,3,1.5,3,"Tile Quality ",32,,,,,,,,,,,,,,C,,9,0,6,100-499,Student,"Blender,Unity 3D","Video Game Development",Occasionally,"Time,Realtime",Optix,21,Female
18,18,6419f46d-7fcb-4779-a275-9ff791fd7c9f,0e_If9_bCTv87xSrJqoWOebaww7AQh1edKXiYB7djRc,/,1666697341,1666700659,1666700659,0,webform_confirmation,,,en,irsurvey_webform,node,d031e888-1d4d-4d27-90eb-2da066526fac,0,0,,1,1,,,,,,,,,,,Yes,,2.5,3,4,1,4,1,1,None,,,,Yes,,4,3.5,3,3.5,3.5,2.5,3,"Tile Quality ,Tile Size",128,32,,,Yes,,1,2,1.5,1.5,0.5," -0.4",1,,,,,,,,,,,,Yes,," -0.5",0,0.5," -0.3",0," -0.8",0,"Tile Quality ",16,,,Yes,," -0.3",1.3," -0.3"," -0.2"," -0.4",0,0.9,"Tile Quality ",16,,,,Yes,,1," -0.3",1.5,1.5,0," -0.8"," -0.3",,,,,,,,,,,,Yes,,1.1,0.8,2.1,0.7,0,0.5,0,None,,,,Yes,,0.5,0.5,2.4,2,1,1.4,0,"Tile Quality ,Threshold",64,,101-200,,Yes,,3,1.5,3.2,4,2.7,2.5,4,,C,,2,7,8,"10,000+",Professional,"Blender,Autodesk Maya,Unity 3D","Architecture Visualization,Video Game Development,Animation,Digital Art (single frame rendering)",Regularly,"Noise,Time,Realtime","Optix,Open Image Denoise (Intel)",25,Male
19,19,33febe08-d166-43f7-a5c5-606312f5b903,cbl9051ji7-ewjYBcYS8_iOsAeO4nFK19Cj9nBPTCZ0,/,1666706856,1666710002,1666710002,0,webform_confirmation,,,en,irsurvey_webform,node,d031e888-1d4d-4d27-90eb-2da066526fac,0,0,,0,1,Yes,,3,3.5,2.5,3,4,3.5,2.5,,Yes,,4.5,4.5,4,4.5,5,3.5,4.5,None,,,,Yes,,4,4.5,4.5,4.5,4,4,4.5,,,,,,,,,,,,,,,,Yes,,2,3.1,2.5,0,3,1,0,,Yes,,3,3,2,3,4,2,1.5,"Tile Quality ,Tile Size",16,16,,Yes,,2,2,2,2.5,3,2.5,2.5,"Tile Quality ,Threshold",16,,101-200,,,,,,,,,,,,Yes,,4,4,4.5,4.5,4.5,4,4,,Yes,,3,2,3,2.5,3,2,3,"Tile Quality ",16,,,Yes,,3,3,3,3,4,4,3,"Tile Quality ,Threshold",16,,101-200,,,,,,,,,,,,A,,9,5,7,50-99,Student,Blender,"Animation,Digital Art (single frame rendering)",Occasionally,"Time,Realtime,Final","Optix,Open Image Denoise (Intel)",33,Male
20,20,5117fab7-f5cc-4b66-8df0-f6cd74c8e4fa,cHdfKuTz8KpuhY6IGM9WE2YPtJcdSiMJixp2rE6iWXk,/,1666982764,1666985826,1666985826,0,webform_confirmation,,,en,irsurvey_webform,node,d031e888-1d4d-4d27-90eb-2da066526fac,0,0,,1,1,,,,,,,,,,,Yes,,1,0,1,0,3,2,0,None,,,"I  was able to creash it because i think the raytracing was not hadled outside of the screen",Yes,,3,2.9,2,2,3,0,0,None,,,,,Yes,," -0.5"," -0.5",1," -0.6"," -1"," -1",0,"it was hard to udersand the scene during the refresh of the page",,,,,,,,,,,Yes,,0,0,0,0,0,0.9,0,None,,,,Yes,,0,0," -1",0,0,2.4,0,"Tile Quality ",64,,,,Yes,,3,0,4,1,0,1,0,,,,,,,,,,,,Yes,,3,1.9,4,1,0," -0.1",0,"Tile Quality ",4,,,Yes,,2,2,3,1.5,1.5,1.2,0,None,,,,,Yes,,0.9,1.5,0,0,0,0,0,,C,"i don't see the difference  b-c",0,6,6,"5,000-9,999",Professional,"Blender,Other modelling/rendering software","Architecture Visualization",Regularly,"Realtime,Software","Vdenoise (V Ray)",32,Male
21,21,d467cfbf-34fc-4439-a790-b0e2252e1fae,pJNXqG0WD8iLJakBSuEpn5CI_ZiLCxrBnq3hZ2WP1d8,/,1667571792,1667573733,1667573733,0,webform_confirmation,,,en,irsurvey_webform,node,d031e888-1d4d-4d27-90eb-2da066526fac,0,0,,1,1,,,,,,,,,,,Yes,,1.5,1.5,1,1,2,3.5,2.8,None,,,,Yes,,2,2.5,2.5,3,4,3.5,3.5,None,,,,,Yes,,3,3,3.5,3.5,3.5,3.5,4,"this method seems better for changing colors, but worse for transforming objects than Method C",,,,,,,,,,,Yes,,3,1.5,1.5,2.5,1,1,1,None,,,"for bigger changes, it's really distracting if parts of the picture only change with very notable delay",Yes,,3.5,2.5,3,3.1,2.5,3,2.5,Threshold,,,1-100,"lower threshold values make it much much easier to focus on what you're doing",Yes,,3.5,4.5,4.5,4.5,4.5,4,4.5,"much smoother workflow than the other methods",,,,,,,,,,,Yes,,3.5,3.5,3.5,3.1,3,2,1.5,,,,,Yes,,3,3.8,3,2.7," -0.7",1,1,"Tile Quality ,Tile Size,Threshold",8,16,1-100,"living room was very slow to update, leading me to wonder whether it was broken",Yes,,4,4.5,4.5,4,4.5,4.5,4.5,"by far the quickest method here",A,"very quick updates made it easy to follow along with what you were doing",8,0,5,100-499,Student,"Blender,3ds Max,Unity 3D,Other modelling/rendering software,Other game engines",Animation,Occasionally,"Noise,Time",Optix,29,Male
22,22,e11e5271-21b6-42fb-bcae-a3ec6cd133c9,DqngOI_so2hRnrquNS3ulLHaFajXVXPoMHAvqT5T2R4,/,1667576967,1667580434,1667580434,0,webform_confirmation,,,en,irsurvey_webform,node,d031e888-1d4d-4d27-90eb-2da066526fac,0,0,,1,1,,,,,,,,,,,Yes,,1,0,0,1,0,1,2,None,,,"Moving objects was basically equivalent in all versions ( I don't think it would have made a big difference with converged, 1spp or Method B), but choosing colour was difficult because of the grainyness",Yes,,2.5,1.5,0,2.5,1,2,2,None,,,,"Much easier to change the colour with this render method, otherwise still basically the same (also it is hard to compare to 1spp, when I never did these particular tasks in 1spp)",Yes,," -0.5",0," -1"," -0.3"," -0.2"," -0.5"," -1","This was distracting. In the kitchen the bell pepper was easier to change colour on, but moving was weird because everything was blurry, in the living room moving was easier because there was high contrast between the glass and the table, but changing the horse, again was very difficult. Liked this method the least so far",,,,,,,,,,,Yes,,0,0,0,0,0," -0.2",0,"Tile Quality ,Tile Size",4,16,"Didn't really notice a difference in Tile Size settings. Likes low tile quality though as that meant updates were being rended quickly. This was only annoying during long periods of moving things",Yes,,1.5,1,2," -0.2",2,1,1,"Tile Quality ,Tile Size",4,16,,"I played around with the tile quality a bit. For moving small objects I prefer higher values like 64, but for moving big objects like the table 4 was better, no matter which tile size I picked",Yes,,1.2,0,2.5,0.5,1,1.3,1,"The tasks were super different. Moving the table was a lot easier because there was good contrast, I'd say it was the best of the three methods. Changing the cooker was also the best so far, but moving the home decor, was weird to see, and felt a lot less clean than other methods",,,,,,,,,,,Yes,,0," -0.5",0,0," -0.2",0,0,None,,,"Since this changes the entire scene for the most part, the one downside to spp was that it takes longer to update, because it starts at the light source. Other than that I don't think there is that big of a difference between doing it in 1spp, converged or this method. Also the UI for the light makes no sense",Yes,,0," -0.7",2,1,0," -0.1",1,None,,,,"In the kitchen this method was better, still took longer to render the whole picture, and was definitely better than 1spp for the small light, because of colour clarity. Living room was worse, it took a long time to update. I don't think I would have minded doing this in 1spp though, especially if I didn't know this method existed",Yes,,3.3,3.5,4,3.5,3,3,3.5,"Definitely the best method for these large scale light changes. it was the only one that felt reponsive and fast where I had proper control of the colour as well",A,"This method felt best for moving things with high contrast and bigger objects (mostly in the living room) and changing light. For moving smaller objects with less contrast I prefer method C though. In general I would say it depends on what I want to do, for small detail work I'd go with method C for big scene renderings and adjustments method A.
For the ranking below I will assume that I want to make bigger changes, since that is more what I do",7,0,3,50-99,Professional,"Blender,Autodesk Maya,Unreal Engine,Unity 3D,Other game engines","Video Game Development,Hobby modeling",Never,Time,none,25,"Non binary"
23,23,438124a5-45dc-419a-90ff-b111e70d4849,z7OsjoJ_wns5IM7rHyyAmOlUIP1WRke1Gdq_qLAf2ek,/,1668007088,1668010423,1668074145,0,webform_confirmation,,,en,irsurvey_webform,node,d031e888-1d4d-4d27-90eb-2da066526fac,0,0,,1,1,,,,,,,,,,,Yes,,4,4,4,4,4,4,4,"Tile Quality ,Tile Size",64,16,"Could not really differentiate between the two tasks",Yes,,4,4,4,4,4,4,4,None,,,,"Still feels the same",Yes,," -1"," -1"," -1"," -1"," -1"," -1"," -1","That felt queasy",,,,,,,,,,,Yes,,0,0,0,0,0,0,0,None,,,,Yes,," -1"," -1"," -1"," -1"," -1"," -1"," -1",None,,,,,Yes,," -1"," -1"," -1"," -1"," -1"," -1"," -1",Blergh,,,,,,,,,,,Yes,,4,4,4,4,4,4,4,None,,,,Yes,,4.5,4.5,4.5,4.5,4.5,4.5,4.5,None,,,,,Yes,,0,0,0,0,0,0,0,,B,,0,10,8,"1,000-4,999",Student,"Blender,Unreal Engine,Unity 3D,Other modelling/rendering software,Other game engines","Video Game Development,VR/AR",Occasionally,Time,Optix,38,Male
24,25,5a5f6880-effd-45a3-85c0-82764988a3f5,iXHEoLgzKg7O8GuWEDDzroHqkl5QTQmxFISs3C6ut0c,/,1668255016,1668259877,1668259877,0,webform_confirmation,,,en,irsurvey_webform,node,d031e888-1d4d-4d27-90eb-2da066526fac,0,0,,0,1,Yes,,2,0,2,2,2,2,2,,Yes,,1,1,2,2,2,2,2,"Tile Quality ",64,,,Yes,,2,2,2,2,2,2,2,"Tile Quality ",32,,,,,,,,,,,,,,Yes,,2,0,2,2,2,1.5,0,,Yes,,1.5,2,2," -0.5",0,0.5,0.5,"Tile Quality ",32,,,Yes,,1.9,1.5,2,1.5,1,1,1,"Tile Quality ",32,,,,,,,,,,,,,,Yes,,3,2.5,2.5,2.5,2.5,2.5,3,,Yes,,2.5,2,2.5,2.5,2.5,2.5,2.5,"Tile Quality ",16,,,Yes,,2.3," -0.4",2.1,2,2.5,2,2,"Tile Quality ",16,,,,,,,,,,,,,,A,,7,0,5,100-499,Student,"Blender,Unity 3D","rendering research","Every time",,Optix,27,Female
25,26,982839d8-e43f-4295-9ca2-4954791bacd6,V0apWaeHv5YShRymz6Qb_ZUMCiG09Q1t3yvRnYn11Jw,/,1668784804,1668789533,1668789533,0,webform_confirmation,,,en,irsurvey_webform,node,d031e888-1d4d-4d27-90eb-2da066526fac,0,0,,0,1,Yes,,3,2.1,3.6,1,2.5,3.6,3.5,"Most distracting was the UI less the adjustments, apart from that the color adjustment was to delayed and blurry in order to hit the correct color.",Yes,,1.5,2.7,4.6,2.9,2.9,3.7,2.7,"Tile Quality ,Tile Size",256,8,"starting with 256 the focus on the selected item is way better, any bigger tile size or less quality was distracting me.",Yes,,4.5,3.7,2.4,4,4,2.5,2.7,"Tile Quality ,Tile Size,Threshold",256,8,101-200,,,,,,,,,,,,Yes,,0.4,0.6,0.8,2,0,0.6,0.9,"the roughness is easy to recognize, colors aren't",Yes,,3.3,3.5,2.3,3.9,4.1,1.9,2.5,"Tile Quality ,Tile Size",256,32,"adaptive tile quality to selected object (small = high number and the other way around) would be great I belief",Yes,,1.8,3.5,3.5,3.5,0.8," -0.7",2.2,"Tile Quality ,Tile Size,Threshold",8,32,0,"didn't feel the threshhold doing a lot but adding more distractions.",,,,,,,,,,,Yes,,4,4,2.4,3.6,3.5,2.2,2.2,,Yes,,2.8,2.5,3.1,2.2,2.5,1.2,2,"Tile Quality ,Tile Size",4,32,,Yes,,2,2," -0.4",0.4,1,0.9,2,"Tile Quality ,Tile Size,Threshold",4,8,101-200,"threshhold definitly helps",,,,,,,,,,,B,"either B or C for small objects, as I just need to see changes applied to my work focus.",1,5,3,100-499,Student,"Blender,3ds Max,ZBrush,Unreal Engine,Unity 3D,Other modelling/rendering software","Video Game Development,Animation,Digital Art (single frame rendering)",Never,"Final,Hardware,Software","Vdenoise (V Ray),Octane Renderer",27,Male
